Timestamp,Heart rate
2021-02-03 01:35:00,59.0
2021-02-03 01:40:00,59.0
2021-02-03 01:45:00,59.0
2021-02-03 01:50:00,59.0
2021-02-03 01:55:00,62.0
2021-02-03 02:00:00,59.0
2021-02-03 02:05:00,59.0
2021-02-03 02:10:00,59.0
2021-02-03 02:15:00,59.0
2021-02-03 02:20:00,75.0
2021-02-03 02:25:00,75.0
2021-02-03 02:30:00,59.0
2021-02-03 02:35:00,59.0
2021-02-03 02:40:00,59.0
2021-02-03 02:45:00,59.0
2021-02-03 02:50:00,59.0
2021-02-03 02:55:00,59.0
2021-02-03 03:00:00,59.0
2021-02-03 03:05:00,74.0
2021-02-03 03:10:00,58.0
2021-02-03 03:15:00,58.0
2021-02-03 03:20:00,58.0
2021-02-03 03:25:00,58.0
2021-02-03 03:30:00,68.0
2021-02-03 03:35:00,57.0
2021-02-03 03:40:00,57.0
2021-02-03 03:45:00,57.0
2021-02-03 03:50:00,57.0
2021-02-03 03:55:00,57.0
2021-02-03 04:00:00,57.0
2021-02-03 04:05:00,57.0
2021-02-03 04:10:00,58.0
2021-02-03 04:15:00,67.0
2021-02-03 04:20:00,57.0
2021-02-03 04:25:00,68.0
2021-02-03 04:30:00,73.0
2021-02-03 04:35:00,66.0
2021-02-03 04:40:00,67.0
2021-02-03 04:45:00,65.0
2021-02-03 04:50:00,62.0
2021-02-03 04:55:00,62.0
2021-02-03 05:00:00,62.0
2021-02-03 05:05:00,62.0
2021-02-03 05:10:00,60.0
2021-02-03 05:15:00,59.0
2021-02-03 05:20:00,59.0
2021-02-03 05:25:00,59.0
2021-02-03 05:30:00,59.0
2021-02-03 05:35:00,59.0
2021-02-03 05:40:00,59.0
2021-02-03 05:45:00,59.0
2021-02-03 05:50:00,59.0
2021-02-03 05:55:00,65.0
2021-02-03 06:00:00,71.0
2021-02-03 06:05:00,60.0
2021-02-03 06:10:00,58.0
2021-02-03 06:15:00,59.0
2021-02-03 06:20:00,58.0
2021-02-03 06:25:00,59.0
2021-02-03 06:30:00,59.0
2021-02-03 06:35:00,58.0
2021-02-03 06:40:00,59.0
2021-02-03 06:45:00,58.0
2021-02-03 06:50:00,58.0
2021-02-03 06:55:00,58.0
2021-02-03 07:00:00,58.0
2021-02-03 07:05:00,58.0
2021-02-03 07:10:00,58.0
2021-02-03 07:15:00,59.0
2021-02-03 07:20:00,58.0
2021-02-03 07:25:00,62.0
2021-02-03 07:30:00,66.0
2021-02-03 07:35:00,61.0
2021-02-03 07:40:00,60.0
2021-02-03 07:45:00,60.0
2021-02-03 07:50:00,60.0
2021-02-03 07:55:00,61.0
2021-02-03 08:00:00,60.0
2021-02-03 08:05:00,76.0
2021-02-03 08:10:00,60.0
2021-02-03 08:15:00,78.0
2021-02-03 08:20:00,62.0
2021-02-03 08:25:00,73.0
2021-02-03 08:30:00,64.0
2021-02-03 08:35:00,65.0
2021-02-03 08:40:00,77.0
2021-02-03 08:45:00,63.0
2021-02-03 08:50:00,64.0
2021-02-03 08:55:00,75.0
2021-02-03 09:00:00,77.0
2021-02-03 09:05:00,63.0
2021-02-03 09:10:00,82.0
2021-02-03 09:15:00,82.0
2021-02-03 09:20:00,72.0
2021-02-03 09:25:00,77.0
2021-02-03 09:30:00,68.0
2021-02-03 09:35:00,82.0
2021-02-03 09:40:00,85.0
2021-02-03 09:45:00,68.0
2021-02-03 09:50:00,74.0
2021-02-03 09:55:00,86.0
2021-02-03 10:00:00,79.0
2021-02-03 10:05:00,89.0
2021-02-03 10:10:00,115.0
2021-02-03 10:15:00,115.0
2021-02-03 10:20:00,91.0
2021-02-03 10:25:00,90.0
2021-02-03 10:30:00,99.0
2021-02-03 10:35:00,112.0
2021-02-03 10:40:00,87.0
2021-02-03 10:45:00,98.0
2021-02-03 10:50:00,104.0
2021-02-03 10:55:00,103.0
2021-02-03 11:00:00,106.0
2021-02-03 11:05:00,101.0
2021-02-03 11:10:00,100.0
2021-02-03 11:15:00,94.0
2021-02-03 11:20:00,100.0
2021-02-03 11:25:00,89.0
2021-02-03 11:30:00,95.0
2021-02-03 11:35:00,86.0
2021-02-03 11:40:00,91.0
2021-02-03 11:45:00,89.0
2021-02-03 11:50:00,88.0
2021-02-03 11:55:00,85.0
